Name,ID,Pos,Squad,Min
Ayari Yasin,f173303a,"['DM', 'CM', 'LM', 'DM', 'AM', 'DM', 'AM', 'AM', 'FW', 'CM', 'CM', 'AM', 'AM', 'CM', 'RM', 'CM', 'CM', 'CM', 'AM', 'LM', 'AM', 'CM', 'AM', 'CM', 'AM', 'AM', 'AM', 'CM', 'FW', 'AM', 'AM', 'AM', 'RW']","['se Sweden', 'AIK Stockholm', 'Coventry City', 'Brighton', 'se AIK Stockholm']",1969.0
Ayew Jordan,da052c14,"['RW', 'AM', 'RM', 'RW', 'RM', 'RM', 'RW', 'RM', 'AM', 'RW', 'RW', 'RW', 'RW', 'LM', 'FW', 'RW', 'CM', 'RM', 'RW', 'RW', 'RW', 'FW', 'RW', 'FW', 'FW', 'RM', 'RW', 'RW', 'LW', 'RW', 'AM', 'FW', 'AM', 'FW', 'RW', 'AM', 'RW', 'RM', 'FW', 'LW', 'AM', 'LW', 'LW', 'LW', 'FW', 'LW', 'FW', 'LW', 'FW', 'LW', 'LM', 'FW', 'LW', 'FW', 'FW', 'LW', 'LW', 'LW', 'AM', 'AM', 'FW', 'LW', 'LW', 'FW', 'RW', 'RW', 'RW', 'RW', 'RM', 'RW', 'RW', 'LM', 'RW', 'RW', 'LW', 'LM', 'RW', 'LW', 'RW', 'FW', 'RW', 'LW', 'LM', 'AM', 'LW', 'AM', 'LW', 'RW', 'LM', 'AM', 'AM', 'AM', 'AM']","['gh Ghana', 'Crystal Palace']",4819.0
Azpilicueta César,53cad200,"['CB', 'CB', 'CB', 'CB', 'RB', 'WB', 'RB', 'RB', 'CB', 'WB', 'CB', 'RB', 'WB', 'RB', 'WB', 'CB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'WB', 'RB', 'LB', 'WB', 'RB', 'RB', 'RB', 'CB', 'CB', 'RB', 'WB', 'RB', 'RB', 'RB', 'RB', 'CB', 'WB', 'RB', 'CB', 'RB', 'RB', 'RB', 'CB', 'CB', 'CB', 'LB', 'WB', 'CB', 'LB', 'CB', 'CB', 'RB', 'CB', 'RB', 'CB']","['eng Chelsea', 'es Atlético Madrid', 'es Spain', 'Chelsea', 'Atlético Madrid']",3129.0
Aït Nouri Rayan,9b398aea,"['LB', 'LB', 'WB', 'LB', 'LB', 'LB', 'LB', 'WB', 'LB', 'LB', 'LM', 'LB', 'WB', 'LM', 'RW', 'LW', 'LB', 'LB', 'LB', 'LB', 'LB', 'WB', 'LB', 'LB', 'LB', 'LB', 'LM', 'LM', 'AM', 'LB', 'LB', 'LM', 'LB', 'LB', 'LB', 'LM', 'LM', 'LM', 'LM', 'LM', 'WB', 'CB', 'WB', 'LM', 'WB', 'LM', 'LB', 'CB']","['dz Algeria', 'Wolves']",2624.0
Badiashile Benoît,06df8256,"['RB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['Monaco', 'fr France', 'Chelsea', 'fr Monaco']",2794.0
Bailey Leon,3a233281,"['RW', 'FW', 'LM', 'RW', 'FW', 'RW', 'RW', 'FW', 'RM', 'AM', 'FW', 'RM', 'AM', 'RW', 'RW', 'AM', 'LW', 'LW', 'FW', 'RM', 'FW', 'FW', 'RW', 'FW', 'RM', 'RW', 'FW', 'FW', 'FW', 'RW', 'FW', 'FW', 'FW', 'LW', 'RW', 'RW', 'FW', 'FW', 'RM', 'RM', 'RW', 'RW', 'RM', 'FW', 'FW', 'FW', 'RW', 'RW', 'RM', 'RM', 'LW', 'RM', 'RW', 'RM', 'LM', 'RM', 'RM', 'RM', 'RM', 'RM', 'CM', 'RM', 'RM', 'AM', 'LM', 'LM', 'FW', 'RM', 'RW', 'AM', 'WB', 'RM', 'RM', 'AM', 'RW', 'RM', 'LM']","['eng Aston Villa', 'jm Jamaica', 'Aston Villa']",3738.0
Bajcetic Stefan,32e8417f,"['CM', 'CM', 'RM', 'CM', 'LM', 'CM', 'CM', 'LM', 'RM', 'LW', 'CM', 'CM', 'LM', 'LM', 'LM', 'LW', 'LM', 'LM', 'DM', 'LM', 'CM', 'LM', 'CM', 'CM', 'CM', 'CM', 'RB']","['eng Liverpool', 'Liverpool']",1379.0
Baleba Carlos,a1390d2f,"['DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'CM', 'DM', 'AM', 'LW', 'DM', 'CM', 'DM', 'CM', 'DM', 'DM', 'DM', 'AM', 'DM', 'CM', 'DM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'CM', 'CM', 'DM', 'DM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'DM']","['Lille', 'eng Brighton', 'Brighton']",1272.0
Balmer Kofi,0284bd0d,"['CB', 'CM', 'CM', 'CB', 'CM', 'DM', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CM', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['Crystal Palace', 'nir Larne FC', 'Port Vale']",2422.0
Bandeira Mauro,9b67eca8,"['CM', 'DM', 'DM', 'AM', 'CM', 'CM', 'CM', 'CM', 'RB', 'RB', 'RB', 'CM', 'AM', 'RB', 'CM', 'CM', 'DM']","['Arsenal', 'Colchester Utd']",1368.0
