Name,ID,Pos,Squad,Min
Krafth Emil,77cf6852,"['LB', 'RB', 'RB', 'RB', 'RB', 'RB', 'CB', 'RB', 'RB', 'CB', 'RB']","['Newcastle United', 'se Sweden', 'Newcastle Utd']",528.0
Kulusevski Dejan,df3cda47,"['AM', 'AM', 'RM', 'AM', 'AM', 'AM', 'AM', 'AM', 'WB', 'AM', 'FW', 'AM', 'AM', 'RM', 'RB', 'AM', 'RW', 'FW', 'RW', 'AM', 'RM', 'WB', 'AM', 'AM', 'AM', 'RW', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'RW', 'RM', 'AM', 'AM', 'RW', 'RW', 'RM', 'FW', 'RM', 'FW', 'FW', 'FW', 'FW', 'WB', 'AM', 'AM', 'FW', 'FW', 'FW', 'FW', 'RM', 'FW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RM', 'RW', 'RW', 'RW', 'FW', 'RW', 'RW', 'RW', 'FW', 'RW', 'AM', 'RW', 'RM', 'RW', 'AM', 'RW', 'RM', 'AM', 'LW', 'AM', 'RM', 'RM', 'FW', 'FW', 'RM']","['Tottenham', 'se Sweden', 'eng Tottenham']",4996.0
Lallana Adam,99813635,"['AM', 'AM', 'FW', 'WB', 'CM', 'LW', 'AM', 'AM', 'FW', 'AM', 'AM', 'AM', 'AM', 'AM', 'FW', 'AM', 'AM', 'AM', 'AM', 'LW', 'DM', 'FW', 'AM', 'AM', 'RM', 'AM', 'AM', 'AM', 'AM', 'AM']","['eng Brighton', 'Brighton']",1253.0
Lamptey Tariq,f4e433d4,"['RW', 'WB', 'WB', 'RB', 'RW', 'RB', 'WB', 'AM', 'RB', 'CB', 'WB', 'RB', 'WB', 'RB', 'WB', 'RW', 'RB', 'RB', 'LW', 'RB', 'WB', 'RB', 'RB', 'RB', 'LB', 'RB', 'DM', 'LB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'LB', 'RB', 'RW', 'LB', 'RW', 'LB', 'LB', 'RB', 'RB', 'LB']","['gh Ghana', 'eng Brighton', 'Brighton']",1614.0
Lanzini Manuel,26f6dca8,"['AM', 'LW', 'AM', 'AM', 'AM', 'FW', 'LW', 'AM', 'LW', 'DM', 'RM', 'LW', 'AM', 'AM', 'RM', 'RW', 'LW', 'DM', 'FW', 'DM', 'LM', 'CM', 'CM', 'CM', 'CM', 'CM', 'LW', 'CM', 'AM', 'RW', 'LW', 'LM', 'AM', 'DM', 'AM', 'AM', 'CM', 'AM', 'AM', 'AM', 'LW', 'DM', 'AM', 'LW', 'LM', 'DM', 'LW']","['West Ham', 'River Plate', 'eng West Ham']",2159.0
Laporte Aymeric,119b9a8e,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'LB', 'LB', 'CB', 'LB', 'LB', 'CB', 'LB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'LB', 'LM', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['es Spain', 'eng Manchester City', 'Manchester City', 'Al-Nassr']",3767.0
Lascelles Jamaal,450ab6fc,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'FW', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['Newcastle Utd', 'eng Newcastle Utd']",2038.0
Lembikisa Dexter,0bdda685,"['LM', 'RB', 'RB', 'RB', 'RB', 'RB', 'LB', 'LB', 'LB', 'LB', 'LB', 'RB', 'RB', 'WB', 'RB', 'LB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'CB', 'CB', 'RB', 'CB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RM', 'RB', 'RB', 'FW', 'RB', 'RB', 'RB', 'RM']","['Rotherham Utd', 'jm Jamaica', 'Wolverhampton Wanderers', 'Wolves']",3962.0
Lemina Mario,2b471f99,"['CM', 'DM', 'DM', 'DM', 'CB', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'RM', 'CM', 'DM', 'CM', 'DM', 'DM', 'CM', 'CM', 'CB', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CB', 'CM', 'CM', 'FW', 'CM', 'DM', 'DM', 'DM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM']","['Wolves', 'ga Gabon', 'fr Nice', 'Nice']",4097.0
Lenglet Clément,4f28a6ff,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['Tottenham', 'eng Aston Villa', 'eng Tottenham']",3157.0
Lerma Jefferson,9b5ce51a,"['CB', 'CB', 'CM', 'DM', 'CB', 'DM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'CB', 'DM', 'DM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CB', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'DM', 'LM', 'DM', 'RM', 'CM', 'DM', 'DM', 'CM', 'DM', 'DM', 'RM', 'DM', 'DM', 'LM', 'CM', 'CM', 'CM', 'DM']","['Bournemouth', 'Crystal Palace', 'co Colombia']",4994.0
Lewis Jamal,efb9215a,"['LB', 'FW', 'LB', 'LB', 'LB', 'LM', 'LM', 'LB', 'LB', 'LB', 'LW', 'LB', 'LM', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LM', 'LB']","['Watford', 'Newcastle Utd', 'nir Northern Ireland']",2080.0
Lewis Rico,b57e066e,"['RB', 'RB', 'RB', 'RB', 'RB', 'DM', 'RB', 'RB', 'DM', 'DM', 'LB', 'DM', 'LB', 'RB', 'DM', 'RM', 'LB', 'DM', 'RB', 'RB', 'RB', 'RB', 'CB', 'CB', 'CB', 'LB', 'AM', 'AM', 'FW', 'RM', 'CB', 'WB', 'RW', 'CM', 'DM', 'RB', 'CB', 'CM', 'DM', 'DM', 'DM', 'RB', 'LB', 'CM', 'DM', 'RB']","['eng England', 'eng Manchester City', 'Manchester City']",2573.0
Lewis-Potter Keane,41f08ac8,"['LW', 'LM', 'RW', 'AM', 'LW', 'LW', 'LW', 'LW', 'FW', 'FW', 'WB', 'AM', 'FW', 'FW', 'LM', 'LW', 'LW', 'FW', 'LW', 'LB', 'LW', 'FW', 'LW', 'LW', 'CM', 'RW', 'CM', 'RW', 'FW']",['Brentford'],1046.0
Lindelöf Victor,f5deef4c,"['DM', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'RB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'RB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'LB', 'CB', 'LB', 'LB', 'LB', 'CB', 'LB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'LB', 'CB', 'CB', 'CB', 'CB']","['Manchester Utd', 'se Sweden', 'eng Manchester Utd']",4823.0
Livramento Valentino,afed6722,"['RB', 'RB', 'RB', 'RW', 'RW', 'RB', 'FW', 'RB', 'RB', 'LB', 'RB', 'RW', 'LB', 'LB', 'LB', 'LB', 'LB', 'RB', 'RB', 'RB', 'RB', 'RW', 'LB', 'LB', 'RB']","['Southampton', 'Newcastle Utd', 'eng Newcastle Utd']",1088.0
Lo Celso Giovani,d7553721,"['LM', 'LM', 'LM', 'FW', 'LM', 'FW', 'RM', 'FW', 'RM', 'RM', 'LM', 'RM', 'LM', 'FW', 'RM', 'FW', 'FW', 'RM', 'FW', 'AM', 'AM', 'RW', 'DM', 'AM', 'AM', 'DM', 'RW', 'AM', 'FW', 'CM', 'CM', 'RW', 'LM', 'FW', 'LM', 'AM', 'CM', 'AM', 'AM', 'CM', 'DM', 'DM', 'AM', 'AM', 'AM', 'AM', 'RM']","['Tottenham', 'es Villarreal', 'Villarreal', 'ar Argentina']",2094.0
Loftus-Cheek Ruben,e97fd090,"['RM', 'WB', 'CM', 'WB', 'DM', 'CM', 'CM', 'RM', 'DM', 'DM', 'CM', 'DM', 'DM', 'CM', 'WB', 'WB', 'RM', 'CM', 'RB', 'CM', 'DM', 'CM', 'DM', 'WB', 'DM', 'DM', 'RM', 'RM', 'WB', 'CM', 'WB', 'DM', 'RM', 'RM', 'CM', 'DM', 'FW', 'AM', 'RW', 'CM', 'CM', 'DM', 'CM', 'LM', 'RM', 'RM', 'RM', 'DM', 'RM', 'CM', 'DM', 'RM', 'RM', 'CM', 'LW', 'CM', 'RM', 'RM', 'RW', 'RM', 'AM', 'AM', 'CM', 'AM']","['eng Chelsea', 'Milan', 'Chelsea', 'it Milan']",2867.0
Longstaff Sean,a2b105e0,"['RM', 'CM', 'RM', 'RM', 'CM', 'CM', 'CM', 'RM', 'CM', 'RM', 'CM', 'RM', 'CM', 'RM', 'CM', 'RM', 'RM', 'RM', 'RM', 'RM', 'RM', 'RM', 'RM', 'RM', 'DM', 'CM', 'RM', 'CM', 'RM', 'DM', 'CM', 'RM', 'RM', 'RM', 'RM', 'RM', 'RM', 'LM', 'RM', 'RM', 'RM', 'LM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'RM', 'LM', 'RM', 'RM', 'RM', 'RM', 'CM', 'RM', 'RM', 'RM', 'RM', 'RM', 'RM', 'CM', 'RM', 'RM', 'RM', 'RM', 'CM', 'RM', 'CM', 'RM', 'RM']","['Newcastle Utd', 'eng Newcastle Utd']",4510.0
Luiz Douglas,6f7d826d,"['DM', 'RM', 'RM', 'LM', 'CM', 'RM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'DM', 'DM', 'CM', 'DM', 'CM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'DM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'DM', 'DM', 'CM', 'DM', 'CM', 'CM', 'DM', 'DM', 'DM', 'DM', 'CM', 'CM', 'DM', 'DM', 'CM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'DM', 'CM', 'DM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'RM', 'CM', 'CM', 'CM', 'CM', 'DM', 'DM', 'CM', 'CM', 'DM', 'CM', 'DM']","['eng Aston Villa', 'Aston Villa']",5160.0
Maatsen Ian,cab9634e,"['LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LW', 'LB', 'LB', 'LB', 'LM', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'CB', 'LM', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'AM', 'RW', 'LM', 'LM', 'AM', 'LW', 'RW', 'RW', 'RW', 'LB', 'RW', 'AM', 'AM']","['Burnley', 'Chelsea']",3842.0
Mac Allister Alexis,83d074ff,"['CM', 'DM', 'CM', 'DM', 'CM', 'CM', 'CM', 'DM', 'CM', 'AM', 'AM', 'CM', 'CM', 'RM', 'CM', 'CM', 'CM', 'DM', 'DM', 'DM', 'DM', 'CM', 'LM', 'AM', 'CM', 'LM', 'DM', 'AM', 'AM', 'DM', 'AM', 'AM', 'CM', 'DM', 'AM', 'AM', 'DM', 'CM', 'AM', 'CM', 'AM', 'DM', 'AM', 'CM', 'DM', 'AM', 'DM', 'AM', 'AM', 'DM', 'AM', 'CM', 'CM', 'CM', 'LW', 'LM', 'LM', 'LW', 'CM', 'LM', 'LM', 'CM', 'LM', 'DM', 'DM', 'DM', 'CM', 'AM', 'DM', 'FW', 'CM', 'CM', 'CM', 'LM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'LM', 'CM', 'CM', 'CM', 'LM', 'CM', 'CM', 'CM', 'CM', 'LM', 'CM', 'LM']","['eng Liverpool', 'Liverpool', 'Brighton', 'ar Argentina']",5804.0
Maddison James,ee38d9c5,"['FW', 'AM', 'FW', 'AM', 'RW', 'CM', 'AM', 'RW', 'RM', 'CM', 'RM', 'RW', 'RM', 'RM', 'RM', 'CM', 'RM', 'RM', 'CM', 'RW', 'RM', 'CM', 'RM', 'FW', 'RM', 'AM', 'AM', 'AM', 'AM', 'LW', 'LW', 'AM', 'AM', 'AM', 'AM', 'AM', 'RW', 'RW', 'AM', 'AM', 'RW', 'AM', 'RW', 'FW', 'RW', 'AM', 'FW', 'FW', 'AM', 'AM', 'AM', 'AM', 'AM', 'LM', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'LM', 'FW', 'AM']","['eng England', 'Leicester City', 'Tottenham']",3713.0
Madueke Noni,bf34eebd,"['RM', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'LW', 'RW', 'RW', 'RW', 'WB', 'RW', 'RW', 'RW', 'RW', 'RW', 'FW', 'RW', 'FW', 'RW', 'RW', 'WB', 'FW', 'RM', 'RW', 'DM', 'LW', 'RW', 'RW', 'AM']","['nl PSV Eindhoven', 'Chelsea', 'PSV Eindhoven']",1231.0
Maguire Harry,d8931174,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'AM', 'CB', 'CB', 'FW', 'CB', 'CB', 'CB', 'CB', 'CB', 'CM', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'FW', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['eng England', 'Manchester Utd', 'eng Manchester Utd']",4512.0
Mahrez Riyad,892d5bb1,"['RW', 'RW', 'RW', 'RW', 'RM', 'RW', 'RW', 'RM', 'RM', 'RW', 'RM', 'RW', 'CM', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RM', 'RW', 'RW', 'RW', 'RW', 'RW', 'CM', 'RW', 'RM', 'RM', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'FW', 'RW', 'RW', 'FW', 'RW', 'RM', 'RW', 'RM', 'RW', 'AM', 'FW', 'FW', 'FW', 'FW', 'LW', 'LW', 'LW', 'FW', 'RW', 'FW', 'AM', 'AM', 'FW', 'AM', 'AM', 'AM', 'AM', 'AM', 'FW', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'FW', 'AM', 'FW', 'RW', 'RW']","['dz Algeria', 'eng Manchester City', 'Manchester City', 'Al-Ahli']",5240.0
Mainoo Kobbie,c6220452,"['CM', 'CM', 'DM', 'DM', 'CM', 'AM', 'AM', 'AM', 'AM', 'AM', 'DM', 'AM', 'DM', 'AM', 'DM', 'DM', 'DM', 'DM']","['Manchester Utd', 'eng Manchester Utd']",1209.0
Malacia Tyrell,6b6c793c,"['LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'RB', 'LB', 'LB', 'RB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'DM', 'LM', 'LB', 'LB', 'RB', 'LB', 'LB', 'LB', 'RB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB']","['nl Netherlands', 'Manchester Utd', 'eng Manchester Utd']",2848.0
Manquillo Javier,758dd7f0,"['RB', 'RB', 'RB', 'RB', 'RB', 'RB']",['Newcastle Utd'],192.0
Manuel Benson,d7f99582,"['LM', 'RW', 'RW', 'LM', 'LM', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'LW', 'RW', 'FW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RM', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RM', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'FW', 'RW', 'FW', 'AM', 'AM', 'AM', 'FW', 'FW', 'RM', 'LM', 'RM', 'RW']","['be Antwerp', 'Antwerp', 'Burnley']",2088.0
March Solly,bb5fbd2b,"['RW', 'LB', 'WB', 'WB', 'WB', 'RW', 'RM', 'RW', 'LB', 'WB', 'WB', 'RW', 'RW', 'WB', 'WB', 'LB', 'RM', 'WB', 'LB', 'WB', 'AM', 'WB', 'RW', 'RW', 'RW', 'RW', 'WB', 'AM', 'RW', 'RW', 'RW', 'RM', 'RW', 'RW', 'AM', 'RM', 'RW', 'RW', 'RM', 'RW', 'RW', 'WB', 'RW', 'RW', 'LB', 'RM', 'RW', 'RW', 'RW', 'LB', 'RW', 'RW', 'RM', 'AM', 'AM', 'AM', 'AM', 'AM', 'RW', 'RW', 'RW', 'RW', 'AM', 'RW', 'RM', 'LB', 'LB', 'RW', 'RW', 'RM']","['eng Brighton', 'Brighton']",3959.0
Marquinhos,59878425,"['FW', 'FW', 'FW', 'RM', 'FW', 'FW', 'RW', 'FW', 'LM', 'RM', 'LM', 'RM', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'AM', 'FW', 'AM', 'RM', 'RW', 'FW', 'RW', 'RM']","['Arsenal', 'Nantes', 'Norwich City', 'eng Arsenal']",1351.0
Martial Anthony,8b788c01,"['FW', 'FW', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'LW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'LW', 'RW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'RW', 'AM', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'LB', 'FW', 'FW', 'FW']","['Manchester Utd', 'eng Manchester Utd']",2043.0
Martinelli Gabriel,48a5a5d6,"['LW', 'LW', 'RW', 'LW', 'LW', 'WB', 'LM', 'LW', 'AM', 'LW', 'LB', 'LW', 'RW', 'LW', 'LW', 'LW', 'LM', 'LW', 'AM', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'FW', 'LW', 'LW', 'FW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LM', 'LW', 'FW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LM', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LB', 'WB', 'LW', 'LW', 'FW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'FW', 'LW', 'RW', 'LW', 'LM', 'AM', 'LW']","['Arsenal', 'br Brazil', 'eng Arsenal']",4994.0
Martínez Lisandro,bac46a10,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'LB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['Manchester Utd', 'eng Manchester Utd', 'ar Argentina']",4305.0
Massengo Han-Noah,eba1e557,"['CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'RM', 'CM', 'CM', 'CB', 'DM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'RM', 'DM', 'AM']","['Bristol City', 'Auxerre']",1759.0
Matar Sarr Pape,feb5d972,"['DM', 'CM', 'DM', 'DM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'AM', 'CM', 'RM', 'CM', 'FW', 'DM', 'CM', 'DM', 'CM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'RM', 'DM', 'DM', 'CM', 'DM', 'DM', 'DM', 'RM', 'LM', 'LM', 'CM', 'DM', 'DM', 'LW', 'CM', 'CM', 'CM']","['sn Senegal', 'eng Tottenham', 'Tottenham Hotspur', 'Tottenham']",2070.0
Mateta Jean-Philippe,50e6dc35,"['FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'AM', 'FW', 'FW', 'FW', 'LW', 'LW', 'FW', 'FW', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'LW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'DM', 'FW', 'FW', 'FW', 'FW']",['Crystal Palace'],1755.0
Matip Joël,b217ef29,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['eng Liverpool', 'Liverpool']",2665.0
Matos Alex,ed383e43,"['CM', 'DM', 'LM', 'LM', 'RB', 'FW', 'FW', 'AM', 'DM', 'CM', 'CM', 'DM', 'AM', 'DM']","['Norwich City', 'Chelsea']",1032.0
Maupay Neal,4bcf39f6,"['FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'RW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'RW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'RM', 'FW', 'FW', 'RW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW']","['Everton', 'Brentford']",1932.0
Mavropanos Konstantinos,00963611,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'RB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'FW', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'AM', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['gr Greece', 'Stuttgart', 'eng West Ham', 'West Ham']",4861.0
Mbete-Tatu Luke,387e1d35,"['CB', 'CB', 'LB', 'CB', 'CB', 'FW', 'RB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['Manchester City', 'Bolton', 'Den Bosch', 'Huddersfield']",1883.0
Mbeumo Bryan,6afaebf2,"['RW', 'RB', 'FW', 'RW', 'RM', 'RW', 'AM', 'RW', 'RW', 'FW', 'RW', 'LW', 'FW', 'RW', 'FW', 'RW', 'FW', 'FW', 'FW', 'RW', 'RW', 'FW', 'FW', 'FW', 'FW', 'RW', 'FW', 'FW', 'RW', 'FW', 'RW', 'WB', 'FW', 'RW', 'RW', 'RM', 'RW', 'LW', 'FW', 'RB', 'RW', 'RW', 'FW', 'RW', 'LW', 'FW', 'WB', 'RW', 'LW', 'RW', 'FW', 'FW', 'RB', 'FW', 'FW', 'FW', 'RW', 'RW', 'AM', 'RM', 'RW', 'RW', 'FW', 'RW', 'FW', 'RW', 'RW', 'RM', 'FW', 'RB', 'RW', 'WB', 'RW', 'WB', 'FW', 'RW', 'FW', 'RW', 'FW', 'FW', 'RW', 'RW', 'FW', 'FW', 'FW', 'FW']","['cm Cameroon', 'Brentford']",5029.0
McAllister Sean,66c0246b,"['LM', 'AM', 'DM', 'DM', 'CM', 'AM', 'AM', 'AM', 'AM', 'FW', 'FW', 'CM', 'AM', 'RB', 'DM', 'CM', 'CM', 'CM', 'AM', 'CM']",['Everton'],1641.0
McArthur James,cee31595,"['CM', 'LM', 'CM', 'DM']",['Crystal Palace'],54.0
McConnell James,bf973eeb,"['FW', 'CM', 'CM', 'DM', 'DM', 'CM', 'CM', 'CM', 'RM', 'LM', 'RW']","['eng Liverpool', 'Liverpool']",649.0
McGinn John,90f91999,"['DM', 'RM', 'RM', 'RM', 'LM', 'LM', 'LM', 'CM', 'LM', 'LM', 'RM', 'LM', 'LM', 'DM', 'DM', 'DM', 'LW', 'FW', 'RM', 'LM', 'RM', 'RM', 'LW', 'RM', 'LM', 'RM', 'RM', 'RW', 'DM', 'AM', 'CM', 'DM', 'CM', 'RM', 'CM', 'RW', 'LW', 'RW', 'DM', 'RW', 'RW', 'DM', 'CM', 'CM', 'RM', 'AM', 'RW', 'AM', 'RW', 'CM', 'AM', 'AM', 'CM', 'CM', 'AM', 'RM', 'LM', 'AM', 'AM', 'FW', 'FW', 'FW', 'LW', 'AM', 'LW', 'AM', 'AM', 'LM', 'RW', 'RW', 'RW', 'LM', 'AM', 'RM', 'LM', 'LM', 'RM', 'LM', 'RM', 'AM', 'LM', 'LM', 'LM', 'LM', 'RM', 'LM', 'CM', 'AM', 'FW', 'AM', 'LB', 'CM', 'LM', 'RM', 'LM', 'RM', 'LW', 'FW', 'AM', 'LM', 'LM']","['sct Scotland', 'eng Aston Villa', 'Aston Villa']",6122.0
